Trip,rollingmean,rollingstd
376140,350987.5714285714,32461.639088094766
372952,354383.14285714284,33468.93679433011
372950,356900.85714285716,34206.445271949306
385058,353864.71428571426,29741.723558632264
335243,354434.85714285716,29270.516100839937
310786,354695.4285714286,28802.61963697724
361399,359218.28571428574,26634.77136322807
358578,356709.4285714286,25581.475314878146
381039,357864.71428571426,26599.609644468484
418017,364302.85714285716,34990.04440993936
393280,365477.4285714286,35928.31003937868
344314,366773.28571428574,34802.00207705633
329084,369387.28571428574,30290.678476578112
363021,369619.0,30225.519736364124
378583,372476.85714285716,29952.101881885694
394900,374457.0,31050.52529883088
418411,374513.28571428574,31142.867207512623
401850,375737.5714285714,32155.568003365304
347898,376249.5714285714,31595.488100134124
309829,373498.85714285716,36796.252949761896
337227,369814.0,39231.36566575276
350739,365836.28571428574,39603.88259465775
368489,362063.28571428574,37579.90110291363
362402,354062.0,28432.37477477643
349125,346529.85714285716,19122.187831840853
314447,341751.14285714284,22588.837733333483
304570,340999.85714285716,23878.15148085946
350622,342913.4285714286,24061.43387842311
379726,347054.4285714286,27831.655483502822
389964,350122.28571428574,31526.48230041065
414859,357616.14285714284,40021.78583150514
390487,363525.0,41582.15089835229
351535,368823.28571428574,36315.879987108936
335055,373178.28571428574,28261.012766201966
374365,376570.14285714284,26470.733703649472
370850,375302.14285714284,26506.930819621335
378143,373613.4285714286,25783.852866068126
393082,370502.4285714286,20812.34519747958
401979,372144.14285714284,22990.748678751774
346267,371391.5714285714,23848.034006022044
328002,370384.0,25715.022976203425
357993,368045.14285714284,26035.140326288405
372751,368316.71428571426,26079.15131999953
384830,369272.0,26616.027502240155
398178,370000.0,27432.97397901542
408337,370908.28571428574,28742.252913984175
348573,371237.71428571426,28424.21203665574
330492,371593.4285714286,27801.725047540673
355606,371252.4285714286,28010.19975447725
366071,370298.14285714284,28064.374210189108
375850,369015.28571428574,27488.733411553047
386527,367350.85714285716,25724.783001537555
410885,367714.85714285716,26410.278866561188
328703,364876.28571428574,29676.390356164186
335250,365556.0,28799.11019458771
361190,366353.71428571426,28553.85994755818
378592,368142.4285714286,28922.99179348013
379664,368687.28571428574,29127.588844680682
398096,370340.0,30599.55176686968
406985,369782.85714285716,29762.340725759368
349495,372753.14285714284,25745.762942204565
332085,372301.0,26530.00484985513
346950,370266.71428571426,28027.65775511931
362689,367994.85714285716,27884.52265701403
370293,366656.14285714284,27452.525982312254
336330,357832.4285714286,25521.402403062726
299085,342418.14285714284,23381.386973606575
268776,330886.85714285716,35875.769415343224
233506,316804.14285714284,51341.6025052739
319883,312937.4285714286,49685.355303339355
352100,311424.71428571426,48052.53583219919
705296,359282.28571428574,157845.3683437415
756860,419358.0,216705.85024944137
804590,491573.0,251396.63512532
703710,553706.4285714285,240673.1088190348
659184,614517.5714285715,195896.44790029313
733025,673537.8571428572,148942.51176480603
731177,727691.7142857143,45779.769814165054
775462,737715.4285714285,47700.161054433425
787685,742119.0,51066.19160788448
840737,747282.8571428572,59557.761446145916
716171,749063.0,58209.29637380241
680803,752151.4285714285,52984.83639638998
729715,751678.5714285715,53198.31643281154
749083,754236.5714285715,52473.77795895342
