start_id,end_id,amount
BL05,BR03,5422.0
BL05,BR04,50224.0
BL05,BR05,6391.0
BL05,BR06,11592.0
BL05,BR07,60676.0
BL05,BR08,84741.0
BL05,BR09,115671.0
BL05,BR11,238267.0
BL05,BR12,88291.0
BL05,BR13,29527.0
BL05,BR14,38426.0
BL05,BR15,54053.0
BL05,BR16,121741.0
BL05,BR17,83021.0
BL05,BR18,14554.0
BL05,BR19,20881.0
BL05,BR20,7680.0
BL05,BR21,20688.0
BL05,BR22,20838.0
BL05,BR23,15868.0
BL05,G01,38276.0
BL05,G02,32998.0
BL05,G03,56250.0
BL05,G03A,5537.0
BL05,G04,88991.0
BL05,G05,64734.0
BL05,G06,30908.0
BL05,G07,155934.0
BL05,G08,88938.0
BL05,G09,145262.0
BL05,G10,151303.0
BL05,G11,63138.0
BL05,G13,66534.0
BL05,G14,193701.0
BL05,G15,233581.0
BL05,G17,206347.0
BL05,G18,145881.0
BL05,G19,73980.0
BL05,O01,50369.0
BL05,O02,31725.0
BL05,O03,62349.0
BL05,O04,101456.0
BL05,O06,83356.0
BL05,O09,152275.0
BL05,O10,63369.0
BL05,O11,76971.0
BL05,O12,24579.0
BL05,O13,21096.0
BL05,O14,12643.0
BL05,O15,6553.0
BL05,O16,3051.0
BL05,O17,1907.0
BL05,O18,3714.0
BL05,O19,3297.0
BL05,O20,2424.0
BL05,O21,2482.0
BL05,OO50,25856.0
BL05,OO51,29955.0
BL05,OO52,32304.0
BL05,OO53,27455.0
BL05,OO54,21706.0
BL05,R02,34342.0
BL05,R03,140695.0
BL05,R04,66604.0
BL05,R06,38764.0
BL05,R09,84509.0
BL05,R12,112653.0
BL05,R14,74195.0
BL05,R15,107521.0
BL05,R16,102762.0
BL05,R17,68626.0
BL05,R18,31715.0
BL05,R19,102208.0
BL05,R20,17519.0
BL05,R21,21408.0
BL05,R22,32346.0
BL05,R22A,16271.0
BL05,R23,6901.0
BL05,R24,7363.0
BL05,R25,25720.0
BL05,R26,14503.0
BL05,R27,10670.0
BL05,R28,88696.0
BL06,BL01,321838.0
BL06,BL02,346303.0
BL06,BL03,276785.0
BL06,BL04,713785.0
BL06,BL05,442987.0
BL06,BL06,113230.0
BL06,BL07,1000382.0
BL06,BL08,902999.0
BL06,BL09,585324.0
BL06,BL10,449907.0
BL06,BL11,1136922.0
BL06,BL12,1186235.0
BL06,BL13,379388.0
BL06,BL14,386474.0
BL06,BL15,578584.0
BL06,BL16,535645.0
BL06,BL17,297507.0
BL06,BL18,818910.0
BL06,BL19,176322.0
BL06,BL20,130517.0
BL06,BL21,160000.0
BL06,BL22,97622.0
BL06,BL23,220893.0
BL06,BR01,53056.0
BL06,BR02,16266.0
BL06,BR03,8674.0
BL06,BR04,65057.0
BL06,BR05,9716.0
BL06,BR06,18699.0
BL06,BR07,82748.0
BL06,BR08,103133.0
BL06,BR09,147798.0
BL06,BR11,349612.0
BL06,BR12,124935.0
BL06,BR13,43373.0
BL06,BR14,59955.0
BL06,BR15,74593.0
BL06,BR16,151597.0
BL06,BR17,109021.0
BL06,BR18,18589.0
BL06,BR19,32060.0
BL06,BR20,11649.0
BL06,BR21,28462.0
BL06,BR22,31241.0
BL06,BR23,19400.0
BL06,G01,58087.0
BL06,G02,39320.0
BL06,G03,66447.0
BL06,G03A,7347.0
BL06,G04,98287.0
BL06,G05,89894.0
BL06,G06,47762.0
BL06,G07,219708.0
BL06,G08,142948.0
BL06,G09,211183.0
BL06,G10,220621.0
BL06,G11,82690.0
BL06,G13,110275.0
BL06,G14,327221.0
BL06,G15,366076.0
BL06,G17,292135.0
BL06,G18,226672.0
BL06,G19,122340.0
BL06,O01,78709.0
BL06,O02,52325.0
BL06,O03,97864.0
BL06,O04,152756.0
BL06,O06,134581.0
BL06,O09,215908.0
BL06,O10,105166.0
BL06,O11,139186.0
BL06,O12,42324.0
BL06,O13,33370.0
BL06,O14,20995.0
BL06,O15,8297.0
BL06,O16,4773.0
BL06,O17,3400.0
BL06,O18,7745.0
BL06,O19,7613.0
BL06,O20,6270.0
BL06,O21,6722.0
BL06,OO50,39756.0
BL06,OO51,38944.0
BL06,OO52,45196.0
BL06,OO53,39319.0
BL06,OO54,39500.0
