start_id,end_id,date,amount
0.0,0.0,2017-08-05,16872.0
0.0,0.0,2017-08-06,14529.0
0.0,0.0,2017-08-07,22315.0
0.0,0.0,2017-08-08,23162.0
0.0,0.0,2017-08-09,23238.0
0.0,0.0,2017-08-10,22887.0
0.0,0.0,2017-08-11,23535.0
0.0,0.0,2017-08-12,16889.0
0.0,0.0,2017-08-13,14849.0
0.0,0.0,2017-08-14,21761.0
0.0,0.0,2017-08-15,22914.0
0.0,0.0,2017-08-16,22298.0
0.0,0.0,2017-08-17,22224.0
0.0,0.0,2017-08-18,23172.0
0.0,0.0,2017-08-19,16363.0
0.0,0.0,2017-08-20,14922.0
0.0,0.0,2017-08-21,21336.0
0.0,0.0,2017-08-22,22135.0
0.0,0.0,2017-08-23,22483.0
0.0,0.0,2017-08-24,22556.0
0.0,0.0,2017-08-25,23573.0
0.0,0.0,2017-08-26,15897.0
0.0,0.0,2017-08-27,14036.0
0.0,0.0,2017-08-28,21766.0
0.0,0.0,2017-08-29,21886.0
0.0,0.0,2017-08-30,23244.0
0.0,0.0,2017-08-31,23088.0
0.0,0.0,2017-09-01,23894.0
0.0,0.0,2017-09-02,15029.0
0.0,0.0,2017-09-03,12792.0
0.0,0.0,2017-09-04,23006.0
0.0,0.0,2017-09-05,23268.0
0.0,0.0,2017-09-06,23837.0
0.0,0.0,2017-09-07,23410.0
0.0,0.0,2017-09-08,25043.0
0.0,0.0,2017-09-09,16746.0
0.0,0.0,2017-09-10,14385.0
0.0,0.0,2017-09-11,23760.0
0.0,0.0,2017-09-12,24315.0
0.0,0.0,2017-09-13,23944.0
0.0,0.0,2017-09-14,23720.0
0.0,0.0,2017-09-15,26119.0
0.0,0.0,2017-09-16,18457.0
0.0,0.0,2017-09-17,15623.0
0.0,0.0,2017-09-18,24403.0
0.0,0.0,2017-09-19,24801.0
0.0,0.0,2017-09-20,25423.0
0.0,0.0,2017-09-21,24883.0
0.0,0.0,2017-09-22,26355.0
0.0,0.0,2017-09-23,17987.0
0.0,0.0,2017-09-24,14837.0
0.0,0.0,2017-09-25,24125.0
0.0,0.0,2017-09-26,24702.0
0.0,0.0,2017-09-27,25150.0
0.0,0.0,2017-09-28,24983.0
0.0,0.0,2017-09-29,25915.0
0.0,0.0,2017-09-30,22781.0
0.0,0.0,2017-10-01,14719.0
0.0,0.0,2017-10-02,24107.0
0.0,0.0,2017-10-03,26073.0
0.0,0.0,2017-10-04,14472.0
0.0,0.0,2017-10-05,24369.0
0.0,0.0,2017-10-06,25317.0
0.0,0.0,2017-10-07,14581.0
0.0,0.0,2017-10-08,13172.0
0.0,0.0,2017-10-09,14085.0
0.0,0.0,2017-10-10,14368.0
0.0,0.0,2017-10-11,24879.0
0.0,0.0,2017-10-12,24439.0
0.0,0.0,2017-10-13,25975.0
0.0,0.0,2017-10-14,14827.0
0.0,0.0,2017-10-15,14030.0
0.0,0.0,2017-10-16,24754.0
0.0,0.0,2017-10-17,25691.0
0.0,0.0,2017-10-18,25949.0
0.0,0.0,2017-10-19,25456.0
0.0,0.0,2017-10-20,26799.0
0.0,0.0,2017-10-21,17524.0
0.0,0.0,2017-10-22,16066.0
0.0,0.0,2017-10-23,24481.0
0.0,0.0,2017-10-24,25550.0
0.0,0.0,2017-10-25,25518.0
0.0,0.0,2017-10-26,25327.0
0.0,0.0,2017-10-27,26427.0
0.0,0.0,2017-10-28,20253.0
0.0,0.0,2017-10-29,16012.0
0.0,0.0,2017-10-30,24338.0
0.0,0.0,2017-10-31,25120.0
0.0,0.0,2017-11-01,25599.0
0.0,0.0,2017-11-02,25222.0
0.0,0.0,2017-11-03,26549.0
0.0,0.0,2017-11-04,19502.0
0.0,0.0,2017-11-05,15667.0
0.0,0.0,2017-11-06,24040.0
0.0,0.0,2017-11-07,25233.0
0.0,0.0,2017-11-08,26133.0
0.0,0.0,2017-11-09,25124.0
0.0,0.0,2017-11-10,26479.0
0.0,0.0,2017-11-11,19962.0
0.0,0.0,2017-11-12,15266.0
0.0,0.0,2017-11-13,24384.0
0.0,0.0,2017-11-14,25085.0
0.0,0.0,2017-11-15,25537.0
0.0,0.0,2017-11-16,25564.0
0.0,0.0,2017-11-17,26239.0
0.0,0.0,2017-11-18,18269.0
0.0,0.0,2017-11-19,15057.0
0.0,0.0,2017-11-20,25131.0
0.0,0.0,2017-11-21,25820.0
0.0,0.0,2017-11-22,25550.0
0.0,0.0,2017-11-23,25476.0
0.0,0.0,2017-11-24,26857.0
0.0,0.0,2017-11-25,17052.0
0.0,0.0,2017-11-26,14793.0
0.0,0.0,2017-11-27,24760.0
0.0,0.0,2017-11-28,25676.0
0.0,0.0,2017-11-29,26406.0
0.0,0.0,2017-11-30,25781.0
0.0,0.0,2017-12-01,28084.0
0.0,0.0,2017-12-02,17138.0
0.0,0.0,2017-12-03,16090.0
0.0,0.0,2017-12-04,24479.0
0.0,0.0,2017-12-05,25591.0
0.0,0.0,2017-12-06,26084.0
0.0,0.0,2017-12-07,25941.0
0.0,0.0,2017-12-08,27746.0
0.0,0.0,2017-12-09,17849.0
0.0,0.0,2017-12-10,16626.0
0.0,0.0,2017-12-11,24936.0
0.0,0.0,2017-12-12,26419.0
0.0,0.0,2017-12-13,27145.0
0.0,0.0,2017-12-14,26294.0
0.0,0.0,2017-12-15,28521.0
0.0,0.0,2017-12-16,18560.0
0.0,0.0,2017-12-17,15330.0
0.0,0.0,2017-12-18,25665.0
0.0,0.0,2017-12-19,26175.0
0.0,0.0,2017-12-20,26829.0
0.0,0.0,2017-12-21,26640.0
0.0,0.0,2017-12-22,27781.0
0.0,0.0,2017-12-23,20188.0
0.0,0.0,2017-12-24,17720.0
0.0,0.0,2017-12-25,25622.0
0.0,0.0,2017-12-26,26196.0
0.0,0.0,2017-12-27,26467.0
0.0,0.0,2017-12-28,26329.0
0.0,0.0,2017-12-29,27547.0
0.0,0.0,2017-12-30,18597.0
0.0,0.0,2017-12-31,26172.0
0.0,0.0,2018-01-01,16507.0
