date,amount
2018-05-04,2399301.0
2018-05-05,2048164.0
2018-05-06,1749668.0
2018-05-07,2120575.0
2018-05-08,2146290.0
2018-05-09,2180203.0
2018-05-10,2204206.0
2018-05-11,2398781.0
2018-05-12,1937126.0
2018-05-13,1613316.0
2018-05-14,2088620.0
2018-05-15,2121251.0
2018-05-16,2135883.0
2018-05-17,2149161.0
2018-05-18,2391488.0
2018-05-19,2026255.0
2018-05-20,1756784.0
2018-05-21,2089793.0
2018-05-22,2129475.0
2018-05-23,2130474.0
2018-05-24,2171405.0
2018-05-25,2375365.0
2018-05-26,2134084.0
2018-05-27,1762692.0
2018-05-28,2113232.0
2018-05-29,2118604.0
2018-05-30,2134324.0
2018-05-31,2148166.0
2018-06-01,2362724.0
2018-06-02,1923709.0
2018-06-03,1646979.0
2018-06-04,2062050.0
2018-06-05,2145610.0
2018-06-06,2171932.0
2018-06-07,2205994.0
2018-06-08,2385584.0
2018-06-09,2073045.0
2018-06-10,1678383.0
2018-06-11,2108424.0
2018-06-12,2166091.0
2018-06-13,2155274.0
2018-06-14,2169934.0
2018-06-15,2370914.0
2018-06-16,1834654.0
2018-06-17,1649000.0
2018-06-18,1291020.0
2018-06-19,2126737.0
2018-06-20,2143658.0
2018-06-21,2165567.0
2018-06-22,2298393.0
2018-06-23,1877736.0
2018-06-24,1559357.0
2018-06-25,2057797.0
2018-06-26,2118838.0
2018-06-27,2152176.0
2018-06-28,2200740.0
2018-06-29,2411810.0
2018-06-30,1940989.0
2018-07-01,1644710.0
2018-07-02,2097433.0
2018-07-03,2120848.0
2018-07-04,2145425.0
2018-07-05,2171399.0
2018-07-06,2332469.0
2018-07-07,1935216.0
2018-07-08,1676935.0
2018-07-09,2152933.0
2018-07-10,1707906.0
2018-07-11,1480662.0
2018-07-12,2194432.0
2018-07-13,2368328.0
2018-07-14,1955678.0
2018-07-15,1674781.0
2018-07-16,2110504.0
2018-07-17,2162029.0
2018-07-18,2180684.0
2018-07-19,2181773.0
2018-07-20,2320939.0
2018-07-21,1895913.0
2018-07-22,1640375.0
2018-07-23,2092905.0
2018-07-24,2115266.0
2018-07-25,2157178.0
2018-07-26,2178010.0
2018-07-27,2294189.0
2018-07-28,1987257.0
2018-07-29,1682360.0
2018-07-30,2080974.0
2018-07-31,2138606.0
2018-08-01,2136088.0
2018-08-02,2159632.0
2018-08-03,2283247.0
2018-08-04,1898710.0
2018-08-05,1680243.0
2018-08-06,2099299.0
2018-08-07,2166263.0
2018-08-08,2148228.0
2018-08-09,2194682.0
2018-08-10,2353117.0
2018-08-11,1994179.0
2018-08-12,1682303.0
2018-08-13,2134561.0
2018-08-14,2194706.0
2018-08-15,2214075.0
2018-08-16,2243761.0
2018-08-17,2367374.0
2018-08-18,2012712.0
2018-08-19,1681781.0
2018-08-20,2110534.0
2018-08-21,2138241.0
2018-08-22,2171375.0
2018-08-23,2165213.0
2018-08-24,2256295.0
2018-08-25,1734982.0
2018-08-26,1629709.0
2018-08-27,2099962.0
2018-08-28,2124949.0
2018-08-29,2117994.0
2018-08-30,2123387.0
2018-08-31,2296449.0
2018-09-01,1874722.0
2018-09-02,1591671.0
2018-09-03,2102499.0
2018-09-04,2105251.0
2018-09-05,2134143.0
2018-09-06,2162872.0
2018-09-07,2305629.0
2018-09-08,1850217.0
2018-09-09,1480364.0
2018-09-10,2150791.0
2018-09-11,2189847.0
2018-09-12,2190339.0
2018-09-13,2204212.0
2018-09-14,2371364.0
2018-09-15,1900038.0
2018-09-16,1637787.0
2018-09-17,2141013.0
2018-09-18,2175017.0
2018-09-19,2198186.0
2018-09-20,2218486.0
2018-09-21,2413658.0
2018-09-22,1797040.0
2018-09-23,1574708.0
2018-09-24,1373897.0
2018-09-25,2163066.0
2018-09-26,2220412.0
2018-09-27,2248167.0
2018-09-28,2382813.0
2018-09-29,1929194.0
2018-09-30,1748049.0
