date,start_id,end_id,amount
2018-01-29,4180630,4144254,720081
2018-01-30,4198223,4169142,794484
2018-01-31,4280126,4240493,835913
2018-02-01,4337449,4282139,842487
2018-02-02,4552022,4496830,1000880
2018-02-03,4740549,4714067,1008016
2018-02-04,4641757,4600431,903449
2018-02-05,4268190,4223414,782846
2018-02-06,4199211,4170848,796951
2018-02-07,4296272,4243067,903006
2018-02-08,4360565,4336285,900632
2018-02-09,4549054,4501241,965586
2018-02-10,4782595,4735571,1036309
2018-02-11,4552076,4532682,860571
2018-02-12,4212479,4159892,773472
2018-02-13,4287284,4238694,835282
2018-02-14,4445458,4411259,887320
2018-02-15,4485669,4436143,875482
2018-02-16,4598995,4573088,934463
2018-02-17,4759960,4731390,999853
2018-02-18,4547921,4536651,826588
2018-02-19,4269090,4231203,720296
2018-02-20,4270308,4220456,726740
2018-02-21,4356180,4310653,788516
2018-02-22,4458755,4420927,905276
2018-02-23,4610852,4586003,956425
2018-02-24,4847494,4820743,997788
2018-02-25,4688579,4643166,867012
2018-02-26,4333000,4308609,760727
2018-02-27,4377282,4339590,799203
2018-02-28,4479738,4433977,835754
2018-03-01,4544975,4510670,920378
2018-03-02,4694553,4657022,1062000
2018-03-03,4864361,4844620,992767
2018-03-04,4788631,4759118,891543
2018-03-05,4430714,4400085,802596
2018-03-06,4498136,4449307,848004
2018-03-07,4225780,4182549,764880
2018-03-08,4507048,4467482,919861
2018-03-09,4749328,4725506,994068
2018-03-10,4969622,4943011,1044626
2018-03-11,4826825,4795177,857164
2018-03-12,4474565,4446476,812342
2018-03-13,4435871,4393378,858561
2018-03-14,4583027,4536017,909803
2018-03-15,4664501,4637473,955878
2018-03-16,4804295,4764594,1003229
2018-03-17,5064910,5040401,1034840
2018-03-18,4862670,4833156,872019
2018-03-19,4479405,4448305,774881
2018-03-20,4552044,4516204,870757
2018-03-21,4035729,3999726,612136
2018-03-22,4582020,4549994,895262
2018-03-23,4762032,4713034,952694
2018-03-24,4987751,4969764,985803
2018-03-25,4846163,4820484,875538
2018-03-26,4482367,4450821,789314
2018-03-27,4543012,4511883,827904
2018-03-28,4580832,4529265,863454
2018-03-29,4723507,4678615,915901
2018-03-30,4848245,4805790,925039
2018-03-31,5038994,4993247,931100
2018-04-01,4918302,4905551,812916
2018-04-02,4430989,4395016,760202
2018-04-03,4526688,4476329,852172
2018-04-04,4595264,4547258,853135
2018-04-05,4648857,4604731,914558
2018-04-06,4809045,4777458,960974
2018-04-07,5028838,4996304,1014257
2018-04-08,4888839,4866876,881303
2018-04-09,4509867,4492649,804459
2018-04-10,4508535,4475327,839209
2018-04-11,4607814,4561678,869438
2018-04-12,4640578,4586355,903272
2018-04-13,4909402,4873859,971572
2018-04-14,5213963,5187471,1082803
2018-04-15,4939357,4921240,957773
2018-04-16,4550675,4522400,855160
2018-04-17,4602361,4570218,868977
2018-04-18,4639674,4587485,872230
2018-04-19,4708458,4668985,971614
2018-04-20,4886199,4850326,1010381
2018-04-21,5166495,5140015,1026469
2018-04-22,4947560,4911329,880269
2018-04-23,4530658,4495027,790891
2018-04-24,4561372,4508612,837442
2018-04-25,4618735,4583797,918779
2018-04-26,4732767,4688898,915708
2018-04-27,4833559,4795981,997383
2018-04-28,5142796,5119438,1043804
2018-04-29,4997162,4963973,906300
2018-04-30,4537706,4493500,842832
2018-05-01,4598625,4570227,829771
2018-05-02,4720883,4670686,883778
2018-05-03,4780888,4748569,955801
2018-05-04,4929492,4878572,976286
2018-05-05,5233805,5184794,1056462
2018-05-06,5013772,4984297,869862
2018-05-07,4530086,4495405,795173
2018-05-08,4591266,4560067,838606
2018-05-09,4662618,4620060,869190
2018-05-10,4692196,4651245,941475
2018-05-11,4852431,4811002,958250
2018-05-12,5050223,5023435,1046735
2018-05-13,4927917,4900443,913949
2018-05-14,4491738,4469902,810039
2018-05-15,4619932,4580297,885753
2018-05-16,4629200,4588049,946283
2018-05-17,4633233,4613608,944516
2018-05-18,4800444,4770009,970255
2018-05-19,5052363,5012971,1064306
2018-05-20,4860672,4827803,855671
2018-05-21,4525212,4485738,777642
2018-05-22,4566078,4532920,857652
2018-05-23,4667473,4613422,853872
2018-05-24,4686784,4640379,891949
2018-05-25,4809051,4769197,891327
2018-05-26,5027327,4989000,867888
2018-05-27,4755582,4737371,767151
2018-05-28,4485738,4468722,650793
2018-05-29,4546811,4519079,788535
2018-05-30,4627190,4587069,845423
2018-05-31,4716684,4671231,934033
2018-06-01,4932706,4885658,983118
2018-06-02,5149817,5103823,1030487
2018-06-03,4959872,4945257,890960
2018-06-04,4518817,4481947,787385
2018-06-05,4552632,4512941,783607
2018-06-06,4626103,4577269,844179
2018-06-07,4705669,4649778,883928
2018-06-08,4874233,4825599,919278
2018-06-09,5137307,5109725,958719
2018-06-10,4915238,4888856,833826
2018-06-11,4576791,4545745,793388
2018-06-12,4573600,4537062,820467
2018-06-13,4641839,4606409,892884
2018-06-14,4745231,4703347,925892
2018-06-15,4883362,4845810,887755
2018-06-16,5145336,5111470,946564
2018-06-17,5008404,4982915,842095
2018-06-18,4620341,4583096,836035
2018-06-19,4640787,4599336,866742
2018-06-20,4730971,4677204,891898
2018-06-21,4741150,4708142,930294
2018-06-22,4934185,4895804,969067
2018-06-23,5102158,5075089,960959
2018-06-24,5030067,4997099,850218
2018-06-25,4674056,4643497,798974
2018-06-26,4688281,4650028,823902
2018-06-27,4686884,4641006,857050
2018-06-28,4713897,4675953,929493
